    1 ALBANKHE.WND   33.45  -87.35   AL BANKHEAD LOCK
    2 ALBIRMIN.WND   33.57  -86.75   AL BIRMINGHAM WB AP
    3 ALBRANTL.WND   31.58  -86.27   AL BRANTLEY
    4 ALFRISCO.WND   31.43  -87.40   AL FRISCO CITY
    5 ALGREENS.WND   32.70  -87.60   AL GREENSBORO
    6 ALHEFLIN.WND   33.65  -85.60   AL HEFLIN
    7 ALHUNTSV.WND   34.65  -86.77   AL HUNTSVILLE WSO AP
    8 ALMOBILE.WND   30.68  -88.25   AL MOBILE WB AIRPORT
    9 ALMONTGO.WND   32.30  -86.40   AL MONTGOMERY WB AP
   10 ALMUSCLE.WND   34.73  -87.60   AL MUSCLE SHOALS CAA
   11 ALOPELIK.WND   32.63  -85.38   AL OPELIKA
   12 ALOZARK.WND    31.47  -85.65   AL OZARK
   13 ALROBERT.WND   30.55  -87.60   AL ROBERTSDALE 7 E
   14 ALVALLEY.WND   34.57  -85.60   AL VALLEY HEAD
   15 ARBENTON.WND   34.55  -92.62   AR BENTON
   16 ARCLARKS.WND   35.47  -93.47   AR CLARKSVILLE
   17 ARCORNIN.WND   36.40  -90.58   AR CORNING
   18 ARDUMAS.WND    33.88  -91.50   AR DUMAS 1
   19 AREUREKA.WND   36.40  -93.75   AR EUREKA SPRINGS
   20 ARFORDYC.WND   33.70  -92.37   AR FORDYCE
   21 ARFORTSM.WND   35.33  -94.37   AR FORT SMITH WB AP
   22 ARHOPE.WND     33.72  -93.55   AR HOPE
   23 ARJONESB.WND   35.83  -90.70   AR JONESBORO
   24 ARMAMMOT.WND   36.48  -91.53   AR MAMMOTH SPRING
   25 ARMORRIL.WND   35.13  -92.73   AR MORRILTON
   26 ARMOUNTI.WND   34.55  -93.63   AR MOUNT IDA 1
   27 ARMOUNTA.WND   36.33  -92.38   AR MOUNTAIN HMC OF ENG
   28 ARNEWPOR.WND   35.60  -91.28   AR NEWPORT
   29 ARSILOAM.WND   36.18  -94.55   AR SILOAM SPRINGS
   30 ARSTUTTG.WND   34.47  -91.42   AR STUTTGART 9ESE
   31 AZAGUILA.WND   33.95 -113.18   AZ AGUILA
   32 AZAJO.WND      32.37 -112.87   AZ AJO
   33 AZBETATA.WND   36.68 -110.53   AZ BETATAKIN
   34 AZBLACKR.WND   33.48 -109.77   AZ BLACK RIVER PUMPS
   35 AZBOWIE.WND    32.33 -109.48   AZ BOWIE
   36 AZCANELO.WND   31.55 -110.52   AZ CANELO RS
   37 AZDOUGLA.WND   31.45 -109.60   AZ DOUGLAS B D AP
   38 AZELOY.WND     32.75 -111.55   AZ ELOY
   39 AZHEBER.WND    34.38 -110.58   AZ HEBER
   40 AZJACOBL.WND   36.72 -112.22   AZ JACOB LAKE
   41 AZKEAMSC.WND   35.82 -110.20   AZ KEAMS CANYON
   42 AZKLAGET.WND   35.55 -109.70   AZ KLAGETOH 12 WNW
   43 AZKOFAMO.WND   33.27 -113.87   AZ KOFA MOUNTAINS
   44 AZLEESFE.WND   36.87 -111.58   AZ LEES FERRY
   45 AZLITCHF.WND   33.50 -112.37   AZ LITCHFIELD PARK
   46 AZLUKACH.WND   36.42 -109.23   AZ LUKACHUKAI
   47 AZMONTEZ.WND   32.57 -111.83   AZ MONTEZUMA CASTLE NM
   48 AZORACLE.WND   32.57 -110.72   AZ ORACLE 4 SE
   49 AZPRESCO.WND   34.55 -112.47   AZ PRESCOTT
   50 AZSAINTJ.WND   34.50 -109.37   AZ SAINT JOHNS
   51 AZSANCAR.WND   33.17 -110.52   AZ SAN CARLOS RESRVOIR
   52 AZSASABE.WND   31.48 -111.55   AZ SASABE
   53 AZSELIGM.WND   35.32 -112.88   AZ SELIGMAN
   54 AZSTEWAR.WND   33.57 -111.53   AZ STEWART MTN
   55 AZTACNA.WND    32.72 -113.92   AZ TACNA 3 NE
   56 AZTUMACA.WND   31.57 -111.05   AZ TUMACACORI
   57 AZTUWEEP.WND   36.28 -113.07   AZ TUWEEP
   58 AZWIKIEU.WND   34.73 -113.62   AZ WIKIEUP
   59 AZWUPATK.WND   35.52 -111.37   AZ WUPATKI NATL MON
   60 AZYUMA.WND     32.67 -114.60   AZ YUMA WB AP
   61 CAALTURA.WND   41.50 -120.53   CA ALTURAS
   62 CAASHMOU.WND   36.48 -118.83   CA ASH MOUNTAIN
   63 CABAKER.WND    35.27 -116.07   CA BAKER
   64 CABISHOP.WND   37.37 -118.37   CA BISHOP WBO
   65 CABLYTHE.WND   33.62 -114.72   CA BLYTHE AP
   66 CABOWMAN.WND   39.45 -120.65   CA BOWMAN DAM
   67 CABRIDGE.WND   38.27 -119.23   CA BRIDGEPORT
   68 CABUTTON.WND   35.40 -119.47   CA BUTTONWILLOW
   69 CADAGGET.WND   34.87 -116.78   CA DAGGETT AP
   70 CADEATHV.WND   36.47 -116.87   CA DEATH VALLEY
   71 CADENAIR.WND   37.53 -120.80   CA DENAIR
   72 CAELCAPI.WND   32.88 -116.88   CA EL CAPITAN DAM
