    1 Elem-N     1.000   0.000   0.000   0.000   0.000   0.000   0.000           0.237
    2 Elem-P     0.000   1.000   0.000   0.000   0.000   0.000   0.000           0.576
    3 ANH-NH3    0.820   0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
    4 UREA       1.000   0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
    5 Elem-K     0.000   0.000   1.000   0.000   0.000   0.000   0.000           0.001
    6 33-00-00   0.330   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    7 31-13-00   0.310   0.057   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    8 MANU_S     0.004   0.007   0.000   0.024   0.003   0.975   0.000   0.000   0.000
    9 30-15-00   0.300   0.066   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   10 28-03-00   0.280   0.013   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   11 26-13-00   0.260   0.057   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   12 25-05-00   0.250   0.022   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   13 25-03-00   0.250   0.013   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   14 24-06-00   0.240   0.026   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   15 22-14-00   0.220   0.062   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   16 20-20-00   0.200   0.088   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   17 18-46-00   0.180   0.202   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   18 18-04-00   0.180   0.018   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   19 06-24-24   0.060   0.106   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   20 16-20-20   0.160   0.088   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   21 15-15-15   0.150   0.066   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   22 15-15-00   0.150   0.066   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   23 13-13-13   0.130   0.057   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   24 12-20-00   0.120   0.088   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   25 11-52-00   0.110   0.229   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   26 11-15-00   0.110   0.066   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   27 10-34-00   0.100   0.150   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   28 10-28-00   0.100   0.123   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   29 10-10-10   0.100   0.044   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   30 08-15-00   0.080   0.066   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   31 08-08-00   0.080   0.035   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   32 07-07-00   0.070   0.031   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   33 07-00-00   0.070   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   34 05-10-15   0.050   0.044   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   35 05-10-10   0.050   0.044   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   36 05-10-05   0.050   0.044   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   37 04-08-00   0.040   0.035   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   38 03-06-00   0.030   0.026   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   39 02-09-00   0.020   0.040   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   40 10-20-20   0.100   0.088   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   41 00-15-00   0.000   0.066   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   42 00-06-00   0.000   0.026   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   43 DAIRY-FR   0.007   0.005   0.000   0.031   0.003   0.990   0.350   0.000   0.000
