    1 Elem-N     1.000   0.000   0.000   0.000   0.000   0.000   0.000           0.237
    2 Elem-P     0.000   1.000   0.000   0.000   0.000   0.000   0.000           0.576
    3 ANH-NH3    0.820   0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
    4 UREA       0.460   0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
    5 Elem-K     0.000   0.000   1.000   0.000   0.000   0.000   0.000           0.001
    6 UAN        0.320   0.000   0.000   0.000   0.000   0.290   0.000   0.000   0.000
    7 AM_NIT_GR  0.340   0.057   0.000   0.000   0.000   0.240   0.000   0.000   0.000
    8 AM_SUL_UR  0.340   0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
    9 AM-SULFA   0.210   0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
   10 ANHYDROUS  0.820   0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
   11 MON_AM_P   0.120   0.221   0.000   0.000   0.000   1.000   0.000   0.000   0.000
   12 MON_AM_P   0.110   0.239   0.000   0.000   0.000   1.000   0.000   0.000   0.000
   13 APOLYSOL   0.100   0.148   0.000   0.000   0.000   1.000   0.000   0.000   0.000
   14 APSULF     0.160   0.870   0.000   0.000   0.000   1.000   0.000   0.000   0.000
   15 ANP1       0.230   0.100   0.000   0.000   0.000   0.570   0.000   0.000   0.000
   16 ANP2       0.270   0.061   0.000   0.000   0.000   0.560   0.000   0.000   0.000
   17 UAP1       0.270   0.117   0.000   0.000   0.000   0.330   0.000   0.000   0.000
   18 UAP2       0.340   0.074   0.000   0.000   0.000   0.320   0.000   0.000   0.000
   19 POT_CHOL   0.000   0.000   0.525   0.000   0.000   0.000   0.000   0.000   0.000
   20 POT_SOLF   0.000   0.000   0.454   0.000   0.000   0.000   0.000   0.000   0.000
   21 A_TP_SOL   0.120   0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
   43 DAIRY-FR   0.007   0.005   0.000   0.031   0.003   0.990   0.350   0.000   0.000
   44 BEEF-FR    0.010   0.004   0.000   0.030   0.007   0.990   0.350   0.000   0.000
   45 VEAL-FR    0.023   0.006   0.000   0.029   0.007   0.990   0.350   0.000   0.000
   46 SWINE-FR   0.026   0.011   0.000   0.021   0.005   0.990   0.350   0.000   0.000
   47 SHEEP-FR   0.014   0.003   0.000   0.024   0.005   0.990   0.350   0.000   0.000
   48 GOAT-FR    0.013   0.003   0.000   0.022   0.005   0.990   0.350   0.000   0.000
   49 HORSE-FR   0.006   0.001   0.000   0.014   0.003   0.990   0.350   0.000   0.000
   50 28-10-10   0.280   0.100   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   51 LAYER-FR   0.013   0.006   0.000   0.040   0.013   0.990   0.350   0.000   0.000
   52 BROIL-FR   0.075   0.014   0.000   0.014   0.031   0.990   0.350   0.000   0.000
   53 TURK-FR    0.007   0.003   0.000   0.045   0.016   0.990   0.350   0.000   0.000
   54 DUCK-FR    0.023   0.008   0.000   0.025   0.009   0.990   0.350   0.000   0.000
   55 BERM-N-P   0.873   0.127   0.000   0.000   0.000   0.000   0.350   0.000   0.000
   56 Manure     0.004   0.007   0.000   0.024   0.003   0.975   0.250   0.000   0.000
   57 Liquid     0.003   0.001   0.000   0.001   0.001   0.987   0.150   0.000   0.000
   58 Liquid     0.003   0.001   0.000   0.001   0.001   0.987   0.150   0.000   0.000
   59                            0.000
   60                            0.000
   61                            0.000
   62 Elem-N     1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000                           0.000
   63 Elem-P     0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000                           0.000
   64 Elem-N     1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   65 46-00-00   0.460   0.000   0.000   0.000   0.000   0.000   0.000   0.324
   66 82-00-00   0.820   0.000   0.000   0.000   0.000   0.000   0.000   0.281
   67 82-00-00   0.820   0.000   0.000   0.000   0.000   0.000   0.000   0.447
   68 82-00-00   0.820   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.447
   69 DAP        0.180   0.460   0.000   0.000   0.000   0.990   0.000   0.000   0.000
   70 DSMGAS     0.002   0.007   0.000   0.022   0.004   0.972   0.350   0.000   0.000
   71 D-SO-MNU   0.002   0.007   0.000   0.022   0.004   0.972   0.350   0.000   0.000
   72 D-LIQ      0.003   0.001   0.000   0.001   0.001   0.987   0.350   0.000   0.000
   73
   74
   75 MANUR3     .0007   .0023   .0000   .0093  0.0012   1.000   0.350   0.000   0.000
   76 MANR3A     .0005   .0044   .0000   .0158  0.0024   1.000   0.350   0.000   0.000
   77 MANUR4     .0005   .0018   .0000   .0063  0.0010   1.000   0.350                 
   78 MANUR5     .0004   .0022   .0000   .0058   .0020   1.000   0.350             
   79 00-45-00   .0000   .1980   .0000   .0000   .0000   0.000   
