    1 ALBANKHE.WP1   33.45  -87.35   AL BANKHEAD LOCK
    2 ALBIRMIN.WP1   33.57  -86.75   AL BIRMINGHAM WB AP
    3 ALBRANTL.WP1   31.58  -86.27   AL BRANTLEY
    4 ALFRISCO.WP1   31.43  -87.40   AL FRISCO CITY
    5 ALGREENS.WP1   32.70  -87.60   AL GREENSBORO
    6 ALHEFLIN.WP1   33.65  -85.60   AL HEFLIN
    7 ALHUNTSV.WP1   34.65  -86.77   AL HUNTSVILLE WSO AP
    8 ALMOBILE.WP1   30.68  -88.25   AL MOBILE WB AIRPORT
    9 ALMONTGO.WP1   32.30  -86.40   AL MONTGOMERY WB AP
   10 ALMUSCLE.WP1   34.73  -87.60   AL MUSCLE SHOALS CAA
   11 ALOPELIK.WP1   32.63  -85.38   AL OPELIKA
   12 ALOZARK.WP1    31.47  -85.65   AL OZARK
   13 ALROBERT.WP1   30.55  -87.60   AL ROBERTSDALE 7 E
   14 ALVALLEY.WP1   34.57  -85.60   AL VALLEY HEAD
   15 ARBENTON.WP1   34.55  -92.62   AR BENTON
   16 ARCLARKS.WP1   35.47  -93.47   AR CLARKSVILLE
   17 ARCORNIN.WP1   36.40  -90.58   AR CORNING
   18 ARDUMAS.WP1    33.88  -91.50   AR DUMAS 1
   19 AREUREKA.WP1   36.40  -93.75   AR EUREKA SPRINGS
   20 ARFORDYC.WP1   33.70  -92.37   AR FORDYCE
   21 ARFORTSM.WP1   35.33  -94.37   AR FORT SMITH WB AP
   22 ARHOPE.WP1     33.72  -93.55   AR HOPE
   23 ARJONESB.WP1   35.83  -90.70   AR JONESBORO
   24 ARMAMMOT.WP1   36.48  -91.53   AR MAMMOTH SPRING
   25 ARMORRIL.WP1   35.13  -92.73   AR MORRILTON
   26 ARMOUNTI.WP1   34.55  -93.63   AR MOUNT IDA 1
   27 ARMOUNTA.WP1   36.33  -92.38   AR MOUNTAIN HMC OF ENG
   28 ARNEWPOR.WP1   35.60  -91.28   AR NEWPORT
   29 ARSILOAM.WP1   36.18  -94.55   AR SILOAM SPRINGS
   30 ARSTUTTG.WP1   34.47  -91.42   AR STUTTGART 9ESE
   31 AZAGUILA.WP1   33.95 -113.18   AZ AGUILA
   32 AZAJO.WP1      32.37 -112.87   AZ AJO
   33 AZBETATA.WP1   36.68 -110.53   AZ BETATAKIN
   34 AZBLACKR.WP1   33.48 -109.77   AZ BLACK RIVER PUMPS
   35 AZBOWIE.WP1    32.33 -109.48   AZ BOWIE
   36 AZCANELO.WP1   31.55 -110.52   AZ CANELO RS
   37 AZDOUGLA.WP1   31.45 -109.60   AZ DOUGLAS B D AP
   38 AZELOY.WP1     32.75 -111.55   AZ ELOY
   39 AZHEBER.WP1    34.38 -110.58   AZ HEBER
   40 AZJACOBL.WP1   36.72 -112.22   AZ JACOB LAKE
   41 AZKEAMSC.WP1   35.82 -110.20   AZ KEAMS CANYON
   42 AZKLAGET.WP1   35.55 -109.70   AZ KLAGETOH 12 WNW
   43 AZKOFAMO.WP1   33.27 -113.87   AZ KOFA MOUNTAINS
   44 AZLEESFE.WP1   36.87 -111.58   AZ LEES FERRY
   45 AZLITCHF.WP1   33.50 -112.37   AZ LITCHFIELD PARK
   46 AZLUKACH.WP1   36.42 -109.23   AZ LUKACHUKAI
   47 AZMONTEZ.WP1   32.57 -111.83   AZ MONTEZUMA CASTLE NM
   48 AZORACLE.WP1   32.57 -110.72   AZ ORACLE 4 SE
   49 AZPRESCO.WP1   34.55 -112.47   AZ PRESCOTT
   50 AZSAINTJ.WP1   34.50 -109.37   AZ SAINT JOHNS
   51 AZSANCAR.WP1   33.17 -110.52   AZ SAN CARLOS RESRVOIR
   52 AZSASABE.WP1   31.48 -111.55   AZ SASABE
   53 AZSELIGM.WP1   35.32 -112.88   AZ SELIGMAN
   54 AZSTEWAR.WP1   33.57 -111.53   AZ STEWART MTN
   55 AZTACNA.WP1    32.72 -113.92   AZ TACNA 3 NE
   56 AZTUMACA.WP1   31.57 -111.05   AZ TUMACACORI
   57 AZTUWEEP.WP1   36.28 -113.07   AZ TUWEEP
   58 AZWIKIEU.WP1   34.73 -113.62   AZ WIKIEUP
   59 AZWUPATK.WP1   35.52 -111.37   AZ WUPATKI NATL MON
   60 AZYUMA.WP1     32.67 -114.60   AZ YUMA WB AP
   61 CAALTURA.WP1   41.50 -120.53   CA ALTURAS
