Date	ET
20020101	0.167
20020102	0.345
20020103	0.259
20020104	0.676
20020105	2.253
20020106	0.849
20020107	0.487
20020108	0.691
20020109	0.39
20020110	0.368
20020111	0.657
20020112	0.393
20020113	0.659
20020114	0.263
20020115	0.486
20020116	0.462
20020117	0.291
20020118	0.234
20020119	0.487
20020120	0.704
20020121	0.239
20020122	0.605
20020123	0.039
20020124	0.479
20020125	0.222
20020126	0.407
20020127	0.32
20020128	0.421
20020129	0.089
20020130	0.13
20020131	1.371
20020201	0.854
20020202	0.679
20020203	1.213
20020204	0.799
20020205	0.245
20020206	0.493
20020207	0.663
20020208	3.336
20020209	2.015
20020210	1.747
20020211	1.169
20020212	1.188
20020213	0.421
20020214	1.636
20020215	1.002
20020216	0.46
20020217	0.666
20020218	0.519
20020219	0.396
20020220	1.384
20020221	1.062
20020222	0.665
20020223	0.383
20020224	0.519
20020225	0.222
20020226	0.525
20020227	1.177
20020228	0.618
20020301	1.044
20020302	1.564
20020303	0.457
20020304	0.632
20020305	0.896
20020306	0.399
20020307	0.682
20020308	0.838
20020309	0.866
20020310	0.721
20020311	1.088
20020312	0.269
20020313	0.457
20020314	1.002
20020315	0.528
20020316	0.18
20020317	0.43
20020318	0.011
20020319	0.682
20020320	2.89
20020321	1.786
20020322	0.524
20020323	0.877
20020324	0.496
20020325	0.82
20020326	0.37
20020327	1.623
20020328	2.065
20020329	0.909
20020330	0.856
20020331	0.514
20020401	1.589
20020402	0.635
20020403	0.259
20020404	0.687
20020405	0.704
20020406	0.593
20020407	2.056
20020408	2.289
20020409	0.678
20020410	1.263
20020411	1.13
20020412	0.584
20020413	3.915
20020414	2.547
20020415	2.37
20020416	1.722
20020417	0.725
20020418	1.209
20020419	0.862
20020420	0.417
20020421	3
20020422	1.329
20020423	1.284
20020424	0.498
20020425	0.648
20020426	0.569
20020427	2.595
20020428	0.55
20020429	0.316
20020430	0.858
20020501	0.679
20020502	0.691
20020503	0.551
20020504	0.579
20020505	4.66
20020506	1.446
20020507	0.478
20020508	0.892
20020509	0.261
20020510	0.811
20020511	2.777
20020512	0.759
20020513	0.347
20020514	2.874
20020515	1.759
20020516	0.434
20020517	0.368
20020518	0.159
20020519	0.373
20020520	0.232
20020521	0.355
20020522	0.47
20020523	0.428
20020524	0.055
20020525	0.18
20020526	0.193
20020527	0.157
20020528	0.421
20020529	0.256
20020530	0.425
20020531	0.313
20020601	0.131
20020602	0.468
20020603	1.153
20020604	0.622
20020605	4.116
20020606	3.475
20020607	1.966
20020608	1.347
20020609	1.11
20020610	1.104
20020611	0.613
20020612	0.997
20020613	0.524
20020614	0.031
20020615	1.994
20020616	0.624
